"a
b
c",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
id,session,room,day,start,end,title,description,presenter,bio,moderator,,
,111,200-A,,9:00:00 AM,10:00:00 AM,The Future of Faith,"In order to understand the future of faith, we need to also understand its past and the present. A currently beleaguered faith is part of a broad paradigm shift in how we understand the nature of reality in the modern era. These challenges are not easily dismissed. At the same time, many, including Latter-day Saints, have undertaken the hard work of reconciling faith and modernity. But what about faith and post-modernity? How might faith contribute to the critique of modernity’s shortcomings, not through nostalgia for something lost, but as a paradigm for where to train our attention?",Taylor Petrey,"Taylor Petrey is an associate professor of Religion at Kalamazoo College. He was Visiting Associate Professor of Women's Studies and Sexuality and Research Associate in the Women's Studies in Religion Program at Harvard Divinity School in 2016-17. He teaches biblical studies, gender studies, and theory and method in religious studies classes.

Dr. Petrey received his ThD and MTS from Harvard Divinity School in New Testament and Early Christianity, and a BA in Philosophy and Religion from Pace University in New York City.

Dr. Petrey has pursued two areas of study—Early Christianity and Mormon Studies. His research and scholarship focus on the intersection of postmodern gender studies and religion, methods of scriptural interpretation, and the impact of modernity on religion.

Among his publications, he is the author of the book Resurrecting Parts: Early Christians on Desire, Reproduction, and Sexual Difference (Routledge, 2016) and a forthcoming book, Tabernacles of Clay: Gender and Sexuality in Modern Mormonism. In addition, he is a co-editor of two forthcoming volumes, The Bible in Latter-day Saint Tradition and The Routledge Handbook on Gender Studies and Mormonism.

Dr. Petrey's articles “Toward a Post-Heterosexual Mormon Theology” in Dialogue: A Journal of Mormon Thought and “Rethinking Mormonism’s Heavenly Mother” in Harvard Theological Review have received wide readership.

A native of Sandy and South Jordan, Utah, Dr. Petrey is a practicing Latter-day Saint.",Lindsay Hansen Park,,
,121,200-A,,10:15:00 AM,11:15:00 AM,121. “Your Religion Is Showing:” Negotiation and Personal Experience in LDS Garments,"This session examines 4,500 survey responses from members of LDS Church answering questions on the practice of wearing garments, or sacred underwear. Men and women report different experiences with their garments. This study looks at responses from both those who are still wearing their garments and from those who have stopped wearing their garments.",Nancy Ross,"Nancy Ross is an assistant professor in the Interdisciplinary Arts and Sciences Department at Dixie State University. She has published on Mormon feminism, LDS attitudes toward women in the priesthood, and has forthcoming publications on LDS garments.",,,
,122,200-B,,10:15:00 AM,11:15:00 AM,122. Future Ways to Explore a Past Faith: A Post Mormon Nature Philosophy,"“I am constantly in awe of the great mystery which surrounds us,” is the defining statement of the Holy Order of Wildlife, or H.O.W.L.: an amalgamation of early Mormonism, Buddhism, Luciferianism, and Gnostic Christianity amongst other paths. We seek a sacred grove of our own as we turn to nature is the primary source of connection to the divine. While we beleive strongly in spiritual experiences and the seeking of such experiences we also beleive in science and the laws of nature.",Tom Bennett,"Tom Bennett is a roaming mystic and full-time traveling musician. He has been a Baptist, a Mormon, a Mormon Fundamentalist, a Buddhist, and an occultist.",,,
,123,200-C,,10:15:00 AM,11:15:00 AM,"123. From ""Shhh, Be Still"" to Speaking Up—Remaking the Church Experience","After decades of feeling alone, I’d almost given up seeking a place for myself at church. When I accepted the calling to teach in a new ward, I wasn’t sure what I believed but I felt inspired to try building the space I needed into my lessons. I knew what I had found lacking, and what I longed for. After five years of consistently saying the things I need to hear at church, there’s been a transformation in our Relief Society. It seems the more I’m willing to speak my truth, the more I create space for others to do the same.",Susan M. Hinckley,"Susan M. Hinckley is an Arizona artist/writer and a graduate of the University of Utah. She enjoys desert living, creating the webcomic Gray Area, moderating Waters of Mormon Facebook group, and endless examination of both her faith and her lack thereof.",Jen Perlmutter Tanner,,
,124,200-D,,10:15:00 AM,11:15:00 AM,124. Mormon Theology and the Game of Thrones: Discerning the Difference between King-men and the Kingdom of God,"Both the Book of Mormon and the Game of Thrones present personal struggle against the backdrop of violent war narratives, differing only in level of explicit graphic detail. Both use the symbol of the steel sword as that which enforced good. Both are tragedies. The true heroes in both are those who are internally transformed away from the banality of the sword into personal nonviolence. In the vignettes of these heroes, whether Alma or the Hound, Ammon or Arya, Samuel, or the Red Woman, the futility of violence gives way to the personal transformation of the Kingdom of God within.",Mark Crego,"Mark Crego is the founder of the Identity Strategy foundation. His work includes the Unique Identity program of India, providing suffrage and financial inclusion for over 1.2 billion people.",,,
,125,300-A,,10:15:00 AM,11:15:00 AM,"125. The Book of Mormon Yesterday, Today and Tomorrow: How Digital Analysis, Hermetics, and Chaos Theory Change What We See","The Book of Mormon has a long history, but how it was seen by its original readers is quite different from how it is seen today. This presentation explores the path from the early 19th century to today and how Mormonism's founding text may be seen in the future.","Brian W. Kassenbrock, Ph. D.","Brian W. Kassenbrock has an MA in German literature from New York University; matriculation in modern literature, Medieval German and linguistics at the Bayerische Julius-Maximillians Universität Würzburg; and a PhD in German literature from New York University, where his dissertation focused on the early Romantic movement.",Steve Florman,,
,126,300-B,,10:15:00 AM,11:15:00 AM,126. Isrealite Origins and Mormonism,"Aware of the growing number of LDS members exiting the Church the LDS hierarchy have responded to some of the cause with the Gospel Topic Essays; many of which focus on Mormon origins, but the problems with the traditional narrative is much larger. The biblical record of Isrealite origins is based primarily on myth presenting problems for literal beliefs of all religions that have grown out of the ancient Israelite traditions. Mormon theology centers on many of these origin myths such as the gathering of Israel. What does this all mean to the future of Mormonism and related traditions?",Ryan Wimmer,Ryan Wimmer received a BA in history from the University of Utah and an MA from BYU. He has been published in the John Whitmer Historical Journal. He has presented papers at MHA and other conferences on Japanese Americans in Utah and Mormon/Native American relations.,Johnny Stephenson,,
